Campaign ID,Type,Campaign Name,URL
HOOK-001,Hook,Claim Your Listing,https://commandcenter.day.news/learn/claim-your-listing?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-001&community=clearwater-fl
HOOK-002,Hook,Post Your Event,https://commandcenter.day.news/learn/post-your-event?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-002&community=clearwater-fl
HOOK-003,Hook,Create a Coupon,https://commandcenter.day.news/learn/create-coupon?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-003&community=clearwater-fl
HOOK-004,Hook,Get Featured,https://commandcenter.day.news/learn/get-featured?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-004&community=clearwater-fl
HOOK-005,Hook,Post a Classified,https://commandcenter.day.news/learn/post-classified?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-005&community=clearwater-fl
HOOK-006,Hook,CRM Integration,https://commandcenter.day.news/learn/crm-integration?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-006&community=clearwater-fl
HOOK-007,Hook,Featured Listing Upgrade,https://commandcenter.day.news/learn/featured-listing?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-007&community=clearwater-fl
HOOK-008,Hook,Newsletter Advertising,https://commandcenter.day.news/learn/newsletter-advertising?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-008&community=clearwater-fl
HOOK-009,Hook,Become a Sponsor,https://commandcenter.day.news/learn/become-sponsor?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-009&community=clearwater-fl
HOOK-010,Hook,Article Advertising,https://commandcenter.day.news/learn/article-advertising?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-010&community=clearwater-fl
HOOK-011,Hook,Expert Registration,https://commandcenter.day.news/learn/expert-registration?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-011&community=clearwater-fl
HOOK-012,Hook,Influencer Program,https://commandcenter.day.news/learn/influencer-program?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-012&community=clearwater-fl
HOOK-013,Hook,Social Posting Trial,https://commandcenter.day.news/learn/social-posting-trial?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-013&community=clearwater-fl
HOOK-014,Hook,Holiday Events,https://commandcenter.day.news/learn/holiday-events?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-014&community=clearwater-fl
HOOK-015,Hook,Business Nomination,https://commandcenter.day.news/learn/business-nomination?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-015&community=clearwater-fl
EDU-001,Education,SEO Reality Check,https://commandcenter.day.news/learn/seo-reality-check?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-001&community=clearwater-fl
EDU-002,Education,AI Marketing 101,https://commandcenter.day.news/learn/ai-marketing-101?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-002&community=clearwater-fl
EDU-003,Education,AI Marketing Assistant,https://commandcenter.day.news/learn/ai-marketing-assistant?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-003&community=clearwater-fl
EDU-004,Education,AI Operations Guide,https://commandcenter.day.news/learn/ai-operations-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-004&community=clearwater-fl
EDU-005,Education,AI Search Visibility,https://commandcenter.day.news/learn/ai-search-visibility?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-005&community=clearwater-fl
EDU-006,Education,Community Marketing,https://commandcenter.day.news/learn/community-marketing?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-006&community=clearwater-fl
