campaign_id,landing_page_slug,url,template_id,template_name,slide_count,duration_seconds,primary_cta,secondary_cta,ai_persona,ai_tone,ai_goal,data_capture_fields,audio_base_url,crm_tracking,conversion_goal,utm_source,utm_medium,utm_campaign,utm_content
HOOK-001,claim-your-listing,/learn/claim-your-listing,claim-listing,Claim Your Listing,6,45,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/claim-your-listing/audio/,True,signup,email,outbound,90day-week1-hook,HOOK-001
EDU-001,seo-reality-check,/learn/seo-reality-check,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/seo-reality-check/audio/,True,education,email,outbound,90day-week1-educational,EDU-001
HOOK-002,post-your-event,/learn/post-your-event,event-posting,Event Posting Guide,5,40,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/post-your-event/audio/,True,signup,email,outbound,90day-week1-hook,HOOK-002
HOWTO-001,command-center-basics,/learn/command-center-basics,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/command-center-basics/audio/,True,engagement,email,outbound,90day-week1-how-to,HOWTO-001
EDU-002,ai-marketing-101,/learn/ai-marketing-101,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-marketing-101/audio/,True,education,email,outbound,90day-week1-educational,EDU-002
HOOK-003,create-coupon,/learn/create-coupon,coupon-creator,Coupon Creator,5,35,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/create-coupon/audio/,True,signup,email,outbound,90day-week2-hook,HOOK-003
EDU-003,ai-marketing-assistant,/learn/ai-marketing-assistant,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-marketing-assistant/audio/,True,education,email,outbound,90day-week2-educational,EDU-003
HOWTO-002,create-article,/learn/create-article,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/create-article/audio/,True,engagement,email,outbound,90day-week2-how-to,HOWTO-002
HOWTO-003,event-creation-guide,/learn/event-creation-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/event-creation-guide/audio/,True,engagement,email,outbound,90day-week2-how-to,HOWTO-003
EDU-004,ai-operations-guide,/learn/ai-operations-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-operations-guide/audio/,True,education,email,outbound,90day-week2-educational,EDU-004
